lang	source
fr_CA,fr_CI	Record Mix
fr_CA,fr_CI	Toggle mix recording
fr_CA,fr_CI	Quick Effects
fr_CA,fr_CI	Quick Effect Super Knob (control linked effect parameters)
fr_CA,fr_CI	Clear Unit
fr_CA,fr_CI	Clear effect unit
fr_CA,fr_CI	Toggle Unit
fr_CA,fr_CI	Adjust the balance between the original (dry) and processed (wet) signal.
fr_CA,fr_CI	Next Chain
fr_CA,fr_CI	Assign 
fr_CA,fr_CI	Clear
fr_CA,fr_CI	Clear the current effect
fr_CA,fr_CI	Toggle
fr_CA,fr_CI	Toggle the current effect
fr_CA,fr_CI	Next
fr_CA,fr_CI	Switch to next effect
fr_CA,fr_CI	Previous
fr_CA,fr_CI	Switch to the previous effect
fr_CA,fr_CI	Next or Previous
fr_CA,fr_CI	Switch to either next or previous effect
fr_CA,fr_CI	Parameter Value
fr_CA,fr_CI	Microphone Ducking Strength
fr_CA,fr_CI	Microphone Ducking Mode
fr_CA,fr_CI	Gain knob
fr_CA,fr_CI	Shuffle the content of the Auto DJ queue
fr_CA,fr_CI	Skip the next track in the Auto DJ queue
fr_CA,fr_CI	Auto DJ Toggle
fr_CA,fr_CI	Toggle Auto DJ On/Off
fr_CA,fr_CI	Microphone & Auxiliary Show/Hide
fr_CA,fr_CI	Show/hide the microphone & auxiliary section
fr_CA,fr_CI	4 Effect Units Show/Hide
fr_CA,fr_CI	Switches between showing 2 and 4 effect units
fr_CA,fr_CI	Mixer Show/Hide
fr_CA,fr_CI	Show or hide the mixer.
fr_CA,fr_CI	Cover Art Show/Hide (Library)
fr_CA,fr_CI	Show/hide cover art in the library
fr_CA,fr_CI	Library Maximize/Restore
fr_CA,fr_CI	Maximize the track library to take up all the available screen space.
fr_CA,fr_CI	Effect Rack Show/Hide
fr_CA,fr_CI	Show/hide the effect rack
fr_CA,fr_CI	Waveform Zoom Out
fr_CA,fr_CI	Headphone Gain
fr_CA,fr_CI	Headphone gain
fr_CA,fr_CI	Tap to sync tempo (and phase with quantize enabled), hold to enable permanent sync
fr_CA,fr_CI	One-time beat sync tempo (and phase with quantize enabled)
fr_CA,fr_CI	Playback Speed
fr_CA,fr_CI	Playback speed control (Vinyl "Pitch" slider)
fr_CA,fr_CI	Pitch (Musical key)
fr_CA,fr_CI	Increase Speed
fr_CA,fr_CI	Adjust speed faster (coarse)
fr_CA,fr_CI	Increase Speed (Fine)
fr_CA,fr_CI	Adjust speed faster (fine)
fr_CA,fr_CI	Decrease Speed
fr_CA,fr_CI	Adjust speed slower (coarse)
fr_CA,fr_CI	Adjust speed slower (fine)
fr_CA,fr_CI	Temporarily Increase Speed
fr_CA,fr_CI	Temporarily increase speed (coarse)
fr_CA,fr_CI	Temporarily Increase Speed (Fine)
fr_CA,fr_CI	Temporarily increase speed (fine)
fr_CA,fr_CI	Temporarily Decrease Speed
fr_CA,fr_CI	Temporarily decrease speed (coarse)
fr_CA,fr_CI	Temporarily Decrease Speed (Fine)
fr_CA,fr_CI	Temporarily decrease speed (fine)
fr_CA,fr_CI	Adjust %1
fr_CA,fr_CI	Effect Unit %1
fr_CA,fr_CI	Button Parameter %1
fr_CA,fr_CI	Crossfader / Orientation
fr_CA,fr_CI	Main Output gain
fr_CA,fr_CI	Main Output balance
fr_CA,fr_CI	Main Output delay
fr_CA,fr_CI	Headphone
fr_CA,fr_CI	Kill %1
fr_CA,fr_CI	Internal Sync Leader
fr_CA,fr_CI	Toggle Internal Sync Leader
fr_CA,fr_CI	Internal Leader BPM
fr_CA,fr_CI	Internal Leader BPM +1
fr_CA,fr_CI	Increase internal Leader BPM by 1
fr_CA,fr_CI	Internal Leader BPM -1
fr_CA,fr_CI	Decrease internal Leader BPM by 1
fr_CA,fr_CI	Internal Leader BPM +0.1
fr_CA,fr_CI	Increase internal Leader BPM by 0.1
fr_CA,fr_CI	Internal Leader BPM -0.1
fr_CA,fr_CI	Decrease internal Leader BPM by 0.1
fr_CA,fr_CI	Sync Leader
fr_CA,fr_CI	Sync mode 3-state toggle / indicator (Off, Soft Leader, Explicit Leader)
fr_CA,fr_CI	Speed
fr_CA,fr_CI	Pitch (Musical Key)
fr_CA,fr_CI	Increase Pitch
fr_CA,fr_CI	Increases the pitch by one semitone
fr_CA,fr_CI	Increase Pitch (Fine)
fr_CA,fr_CI	Increases the pitch by 10 cents
fr_CA,fr_CI	Decrease Pitch
fr_CA,fr_CI	Decreases the pitch by one semitone
fr_CA,fr_CI	Decrease Pitch (Fine)
fr_CA,fr_CI	Decreases the pitch by 10 cents
fr_CA,fr_CI	Shift cue points earlier
fr_CA,fr_CI	Shift cue points 10 milliseconds earlier
fr_CA,fr_CI	Shift cue points earlier (fine)
fr_CA,fr_CI	Shift cue points 1 millisecond earlier
fr_CA,fr_CI	Shift cue points later
fr_CA,fr_CI	Shift cue points 10 milliseconds later
fr_CA,fr_CI	Shift cue points later (fine)
fr_CA,fr_CI	Shift cue points 1 millisecond later
fr_CA,fr_CI	Intro / Outro Markers
fr_CA,fr_CI	Intro Start Marker
fr_CA,fr_CI	Intro End Marker
fr_CA,fr_CI	Outro Start Marker
fr_CA,fr_CI	Outro End Marker
fr_CA,fr_CI	intro start marker
fr_CA,fr_CI	intro end marker
fr_CA,fr_CI	outro start marker
fr_CA,fr_CI	outro end marker
fr_CA,fr_CI	Activate %1
fr_CA,fr_CI	Jump to or set the %1
fr_CA,fr_CI	Set %1
fr_CA,fr_CI	Set or jump to the %1
fr_CA,fr_CI	Clear %1
fr_CA,fr_CI	Clear the %1
fr_CA,fr_CI	Loop Selected Beats
fr_CA,fr_CI	Create a beat loop of selected beat size
fr_CA,fr_CI	Loop Roll Selected Beats
fr_CA,fr_CI	Create a rolling beat loop of selected beat size
fr_CA,fr_CI	Toggle loop on/off and jump to Loop In point if loop is behind play position
fr_CA,fr_CI	Reloop And Stop
fr_CA,fr_CI	Enable loop, jump to Loop In point, and stop
fr_CA,fr_CI	Halve the loop length
fr_CA,fr_CI	Double the loop length
fr_CA,fr_CI	Beat Jump / Loop Move
fr_CA,fr_CI	Jump / Move Loop Forward %1 Beats
fr_CA,fr_CI	Jump / Move Loop Backward %1 Beats
fr_CA,fr_CI	Jump forward by %1 beats, or if a loop is enabled, move the loop forward %1 beats
fr_CA,fr_CI	Jump backward by %1 beats, or if a loop is enabled, move the loop backward %1 beats
fr_CA,fr_CI	Beat Jump / Loop Move Forward Selected Beats
fr_CA,fr_CI	Jump forward by the selected number of beats, or if a loop is enabled, move the loop forward by the selected number of beats
fr_CA,fr_CI	Beat Jump / Loop Move Backward Selected Beats
fr_CA,fr_CI	Jump backward by the selected number of beats, or if a loop is enabled, move the loop backward by the selected number of beats
fr_CA,fr_CI	Beat Jump / Loop Move Forward
fr_CA,fr_CI	Beat Jump / Loop Move Backward
fr_CA,fr_CI	Loop Move Forward
fr_CA,fr_CI	Loop Move Backward
fr_CA,fr_CI	Move up
fr_CA,fr_CI	Equivalent to pressing the UP key on the keyboard
fr_CA,fr_CI	Move down
fr_CA,fr_CI	Equivalent to pressing the DOWN key on the keyboard
fr_CA,fr_CI	Move up/down
fr_CA,fr_CI	Move vertically in either direction using a knob, as if pressing UP/DOWN keys
fr_CA,fr_CI	Scroll Up
fr_CA,fr_CI	Equivalent to pressing the PAGE UP key on the keyboard
fr_CA,fr_CI	Scroll Down
fr_CA,fr_CI	Equivalent to pressing the PAGE DOWN key on the keyboard
fr_CA,fr_CI	Scroll up/down
fr_CA,fr_CI	Scroll vertically in either direction using a knob, as if pressing PGUP/PGDOWN keys
fr_CA,fr_CI	Move left
fr_CA,fr_CI	Equivalent to pressing the LEFT key on the keyboard
fr_CA,fr_CI	Move right
fr_CA,fr_CI	Equivalent to pressing the RIGHT key on the keyboard
fr_CA,fr_CI	Move left/right
fr_CA,fr_CI	Move horizontally in either direction using a knob, as if pressing LEFT/RIGHT keys
fr_CA,fr_CI	Move focus to right pane
fr_CA,fr_CI	Equivalent to pressing the TAB key on the keyboard
fr_CA,fr_CI	Move focus to left pane
fr_CA,fr_CI	Equivalent to pressing the SHIFT+TAB key on the keyboard
fr_CA,fr_CI	Move focus to right/left pane
fr_CA,fr_CI	Move focus one pane to right or left using a knob, as if pressing TAB/SHIFT+TAB keys
fr_CA,fr_CI	Go to the currently selected item
fr_CA,fr_CI	Choose the currently selected item and advance forward one pane if appropriate
fr_CA,fr_CI	Load Track and Play
fr_CA,fr_CI	Replace Auto DJ Queue with selected tracks
fr_CA,fr_CI	Select next search history
fr_CA,fr_CI	Selects the next search history entry
fr_CA,fr_CI	Select previous search history
fr_CA,fr_CI	Selects the previous search history entry
fr_CA,fr_CI	Move selected search entry
fr_CA,fr_CI	Moves the selected search history item into given direction and steps
fr_CA,fr_CI	Clear search
fr_CA,fr_CI	Clears the search query
fr_CA,fr_CI	Deck %1 Quick Effect Enable Button
fr_CA,fr_CI	Quick Effect Enable Button
fr_CA,fr_CI	Enable or disable effect processing
fr_CA,fr_CI	Super Knob (control effects' Meta Knobs)
fr_CA,fr_CI	Mix Mode Toggle
fr_CA,fr_CI	Toggle effect unit between D/W and D+W modes
fr_CA,fr_CI	Next chain preset
fr_CA,fr_CI	Previous Chain
fr_CA,fr_CI	Previous chain preset
fr_CA,fr_CI	Next/Previous Chain
fr_CA,fr_CI	Next or previous chain preset
fr_CA,fr_CI	Show Effect Parameters
fr_CA,fr_CI	Effect Unit Assignment
fr_CA,fr_CI	Meta Knob
fr_CA,fr_CI	Effect Meta Knob (control linked effect parameters)
fr_CA,fr_CI	Meta Knob Mode
fr_CA,fr_CI	Set how linked effect parameters change when turning the Meta Knob.
fr_CA,fr_CI	Meta Knob Mode Invert
fr_CA,fr_CI	Invert how linked effect parameters change when turning the Meta Knob.
fr_CA,fr_CI	Button Parameter Value
fr_CA,fr_CI	Microphone / Auxiliary
fr_CA,fr_CI	Microphone On/Off
fr_CA,fr_CI	Microphone on/off
fr_CA,fr_CI	Toggle microphone ducking mode (OFF, AUTO, MANUAL)
fr_CA,fr_CI	Auxiliary On/Off
fr_CA,fr_CI	Auxiliary on/off
fr_CA,fr_CI	Auto DJ Shuffle
fr_CA,fr_CI	Auto DJ Skip Next
fr_CA,fr_CI	Auto DJ Add Random Track
fr_CA,fr_CI	Add a random track to the Auto DJ queue
fr_CA,fr_CI	Auto DJ Fade To Next
fr_CA,fr_CI	Trigger the transition to the next track
fr_CA,fr_CI	User Interface
fr_CA,fr_CI	Samplers Show/Hide
fr_CA,fr_CI	Show/hide the sampler section
fr_CA,fr_CI	Start/Stop Live Broadcasting
fr_CA,fr_CI	Stream your mix over the Internet.
fr_CA,fr_CI	Start/stop recording your mix.
fr_CA,fr_CI	Vinyl Control Show/Hide
fr_CA,fr_CI	Show/hide the vinyl control section
fr_CA,fr_CI	Preview Deck Show/Hide
fr_CA,fr_CI	Show/hide the preview deck
fr_CA,fr_CI	Toggle 4 Decks
fr_CA,fr_CI	Switches between showing 2 decks and 4 decks.
fr_CA,fr_CI	Cover Art Show/Hide (Decks)
fr_CA,fr_CI	Show/hide cover art in the main decks
fr_CA,fr_CI	Vinyl Spinner Show/Hide
fr_CA,fr_CI	Show/hide spinning vinyl widget
fr_CA,fr_CI	Vinyl Spinners Show/Hide (All Decks)
fr_CA,fr_CI	Show/Hide all spinnies
fr_CA,fr_CI	Toggle Waveforms
fr_CA,fr_CI	Show/hide the scrolling waveforms.
fr_CA,fr_CI	Waveform zoom
fr_CA,fr_CI	Zoom waveform in
fr_CA,fr_CI	Waveform Zoom In
fr_CA,fr_CI	Zoom waveform out
fr_CA,fr_CI	Star Rating Up
fr_CA,fr_CI	Increase the track rating by one star
fr_CA,fr_CI	Star Rating Down
fr_CA,fr_CI	Decrease the track rating by one star
fr_CA,fr_CI	Channel
fr_CA,fr_CI	On Value
fr_CA,fr_CI	Off Value
fr_CA,fr_CI	On Range Min
fr_CA,fr_CI	On Range Max
fr_CA,fr_CI	The functionality provided by this controller mapping will be disabled until the issue has been resolved.
fr_CA,fr_CI	You can ignore this error for this session but you may experience erratic behavior.
fr_CA,fr_CI	Try to recover by resetting your controller.
fr_CA,fr_CI	Controller Mapping Error
fr_CA,fr_CI	The mapping for your controller "%1" is not working properly.
fr_CA,fr_CI	The script code needs to be fixed.
fr_CA,fr_CI	Controller Mapping File Problem
fr_CA,fr_CI	The mapping for controller "%1" cannot be opened.
fr_CA,fr_CI	Create New Crate
fr_CA,fr_CI	Export Crate as Playlist
fr_CA,fr_CI	Analyze entire Crate
fr_CA,fr_CI	Auto DJ Track Source
fr_CA,fr_CI	Enter new name for crate:
fr_CA,fr_CI	Import Crate
fr_CA,fr_CI	Export Crate
fr_CA,fr_CI	Unlock
fr_CA,fr_CI	An unknown error occurred while creating crate: 
fr_CA,fr_CI	Rename Crate
fr_CA,fr_CI	Export to Engine Prime
fr_CA,fr_CI	Make a crate for your next gig, for your favorite electrohouse tracks, or for your most requested tracks.
fr_CA,fr_CI	Renaming Crate Failed
fr_CA,fr_CI	Crates are a great way to help organize the music you want to DJ with.
fr_CA,fr_CI	Crates let you organize your music however you'd like!
fr_CA,fr_CI	A crate cannot have a blank name.
fr_CA,fr_CI	A crate by that name already exists.
fr_CA,fr_CI	New Crate
fr_CA,fr_CI	Enter name for new crate:
fr_CA,fr_CI	Creating Crate Failed
fr_CA,fr_CI	copy
fr_CA,fr_CI	Duplicate Crate
fr_CA,fr_CI	Duplicating Crate Failed
fr_CA,fr_CI	Official Website
fr_CA,fr_CI	Donate
fr_CA,fr_CI	Date:
fr_CA,fr_CI	Git Version:
fr_CA,fr_CI	License
fr_CA,fr_CI	Shows tracks added to the library within the last 7 days.
fr_CA,fr_CI	New
fr_CA,fr_CI	Shows all tracks in the library.
fr_CA,fr_CI	All
fr_CA,fr_CI	Progress
fr_CA,fr_CI	Selects all tracks in the table below.
fr_CA,fr_CI	Select All
fr_CA,fr_CI	Runs beatgrid, key, and ReplayGain detection on the selected tracks. Does not generate waveforms for the selected tracks to save disk space.
fr_CA,fr_CI	Stop Analysis
fr_CA,fr_CI	Analyzing %1% %2/%3
fr_CA,fr_CI	Analyzing %1/%2
fr_CA,fr_CI	Skip
fr_CA,fr_CI	Random
fr_CA,fr_CI	Fade
fr_CA,fr_CI	Enable Auto DJ\n\nShortcut: Shift+F12
fr_CA,fr_CI	Disable Auto DJ\n\nShortcut: Shift+F12
fr_CA,fr_CI	Trigger the transition to the next track\n\nShortcut: Shift+F11
fr_CA,fr_CI	Skip the next track in the Auto DJ queue\n\nShortcut: Shift+F10
fr_CA,fr_CI	Shuffle the content of the Auto DJ queue\n\nShortcut: Shift+F9
fr_CA,fr_CI	Repeat the playlist
fr_CA,fr_CI	Determines the duration of the transition
fr_CA,fr_CI	Seconds
fr_CA,fr_CI	Full Intro + Outro
fr_CA,fr_CI	Fade At Outro Start
fr_CA,fr_CI	Full Track
fr_CA,fr_CI	Skip Silence
fr_CA,fr_CI	Auto DJ Fade Modes\n\nFull Intro + Outro:\nPlay the full intro and outro. Use the intro or outro length as the\ncrossfade time, whichever is shorter. If no intro or outro are marked,\nuse the selected crossfade time.\n\nFade At Outro Start:\nStart crossfading at the outro start. If the outro is longer than the\nintro, cut off the end of the outro. Use the intro or outro length as\nthe crossfade time, whichever is shorter. If no intro or outro are\nmarked, use the selected crossfade time.\n\nFull Track:\nPlay the whole track. Begin crossfading from the selected number of\nseconds before the end of the track. A negative crossfade time adds\nsilence between tracks.\n\nSkip Silence:\nPlay the whole track except for silence at the beginning and end.\nBegin crossfading from the selected number of seconds before the\nlast sound.
fr_CA,fr_CI	Repeat
fr_CA,fr_CI	One deck must be stopped to enable Auto DJ mode.
fr_CA,fr_CI	Decks 3 and 4 must be stopped to enable Auto DJ mode.
fr_CA,fr_CI	Enable
fr_CA,fr_CI	Disable
fr_CA,fr_CI	Displays the duration and number of selected tracks.
fr_CA,fr_CI	Adds a random track from track sources (crates) to the Auto DJ queue.\nIf no track sources are configured, the track is added from the library instead.
fr_CA,fr_CI	Enable BPM and Beat Detection
fr_CA,fr_CI	Choose between different algorithms to detect beats.
fr_CA,fr_CI	Beat Detection Preferences
fr_CA,fr_CI	When beat detection is enabled, Mixxx detects the beats per minute and beats of your tracks,\nautomatically shows a beat-grid for them, and allows you to synchronize tracks using their beat information.
fr_CA,fr_CI	Enable fast beat detection.\nIf activated Mixxx only analyzes the first minute of a track for beat information.\nThis can speed up beat detection on slower computers but may result in lower quality beatgrids.
fr_CA,fr_CI	Converts beats detected by the analyzer into a fixed-tempo beatgrid.\nUse this setting if your tracks have a constant tempo (e.g. most electronic music).\nOften results in higher quality beatgrids, but will not do well on tracks that have tempo shifts.
fr_CA,fr_CI	Re-analyze beatgrids imported from other DJ software
fr_CA,fr_CI	Choose Analyzer
fr_CA,fr_CI	Analyzer Settings
fr_CA,fr_CI	Enable Fast Analysis (For slow computers, may be less accurate)
fr_CA,fr_CI	Assume constant tempo (Recommended)
fr_CA,fr_CI	e.g. from 3rd-party programs or Mixxx versions before 1.11.\n(Not checked: Analyze only, if no beats exist.)
fr_CA,fr_CI	Re-analyze beats when settings change or beat detection data is outdated
fr_CA,fr_CI	Controller Learning Wizard
fr_CA,fr_CI	Learn
fr_CA,fr_CI	Close
fr_CA,fr_CI	Choose Control...
fr_CA,fr_CI	Hints: If you're mapping a button or switch, only press or flip it once.  For knobs and sliders, move the control in both directions for best results. Make sure to touch one control at a time.
fr_CA,fr_CI	Cancel
fr_CA,fr_CI	Advanced MIDI Options
fr_CA,fr_CI	Switch mode interprets all messages for the control as button presses.
fr_CA,fr_CI	Switch Mode
fr_CA,fr_CI	Ignores slider or knob movements until they are close to the internal value. This helps prevent unwanted extreme changes while mixing but can accidentally ignore intentional rapid movements.
fr_CA,fr_CI	Reverses the direction of the control.
fr_CA,fr_CI	Invert
fr_CA,fr_CI	For jog wheels or infinite-scroll knobs. Interprets incoming messages in two's complement.
fr_CA,fr_CI	Jog Wheel / Select Knob
fr_CA,fr_CI	Retry
fr_CA,fr_CI	Learn Another
fr_CA,fr_CI	Done
fr_CA,fr_CI	Click anywhere in Mixxx or choose a control to learn
fr_CA,fr_CI	You can click on any button, slider, or knob in Mixxx to teach it that control.  You can also type in the box to search for a control by name, or click the Choose Control button to select from a list.
fr_CA,fr_CI	Now test it out!
fr_CA,fr_CI	If you manipulate the control, you should see the Mixxx user interface respond the way you expect.
fr_CA,fr_CI	Not quite right?
fr_CA,fr_CI	If the mapping is not working try enabling an advanced option below and then try the control again. Or click Retry to redetect the midi control.
fr_CA,fr_CI	Didn't get any midi messages.  Please try again.
fr_CA,fr_CI	Unable to detect a mapping -- please try again. Be sure to only touch one control at once.
fr_CA,fr_CI	Successfully mapped control:
fr_CA,fr_CI	<i>Ready to learn %1</i>
fr_CA,fr_CI	Learning: %1. Now move a control on your controller.
fr_CA,fr_CI	The control you clicked in Mixxx is not learnable.\nThis could be because you are either using an old skin and this control is no longer supported, or you clicked a control that provides visual feedback and can only be mapped to outputs like LEDs via scripts.\n\nYou tried to learn: %1,%2
fr_CA,fr_CI	Developer Tools
fr_CA,fr_CI	Dumps all ControlObject values to a csv-file saved in the settings path (e.g. ~/.mixxx)
fr_CA,fr_CI	Dump to csv
fr_CA,fr_CI	Search
fr_CA,fr_CI	Stats
fr_CA,fr_CI	Hidden Tracks
fr_CA,fr_CI	Purge selected tracks from the library.
fr_CA,fr_CI	Purge
fr_CA,fr_CI	Unhide selected tracks from the library.
fr_CA,fr_CI	Unhide
fr_CA,fr_CI	Purge selected tracks from the library and delete files from disk.
fr_CA,fr_CI	Purge And Delete Files
fr_CA,fr_CI	Keywheel
fr_CA,fr_CI	&Close
fr_CA,fr_CI	Missing Tracks
fr_CA,fr_CI	Duration after which a track is eligible for selection by Auto DJ again
fr_CA,fr_CI	Minimum available tracks in Track Source
fr_CA,fr_CI	Auto DJ Preferences
fr_CA,fr_CI	Re-queue Tracks
fr_CA,fr_CI	This percentage of tracks are always available for selecting, regardless of when they were last played.
fr_CA,fr_CI	Uncheck, to ignore all played tracks.
fr_CA,fr_CI	Suspend track in Track Source from re-queue
fr_CA,fr_CI	Suspension period for track selection
fr_CA,fr_CI	Add Random Tracks
fr_CA,fr_CI	Enable random track addition to queue
fr_CA,fr_CI	Add random tracks from Track Source if the specified minimum tracks remain
fr_CA,fr_CI	Minimum allowed tracks before addition
fr_CA,fr_CI	Minimum number of tracks after which random tracks may be added
fr_CA,fr_CI	Automatic
fr_CA,fr_CI	You can't create more than %1 source connections.
fr_CA,fr_CI	Source connection %1
fr_CA,fr_CI	At least one source connection is required.
fr_CA,fr_CI	Are you sure you want to disconnect every active source connection?
fr_CA,fr_CI	Confirmation required
fr_CA,fr_CI	Are you sure you want to delete '%1'?
fr_CA,fr_CI	Renaming '%1'
fr_CA,fr_CI	New name for '%1':
fr_CA,fr_CI	Can't rename '%1' to '%2': name already in use
fr_CA,fr_CI	Live Broadcasting Preferences
fr_CA,fr_CI	Mixxx Icecast Testing
fr_CA,fr_CI	Public stream
fr_CA,fr_CI	Stream name
fr_CA,fr_CI	Due to flaws in some streaming clients, updating Ogg Vorbis metadata dynamically can cause listener glitches and disconnections. Check this box to update the metadata anyway.
fr_CA,fr_CI	Live Broadcasting source connections
fr_CA,fr_CI	Delete selected
fr_CA,fr_CI	Create new connection
fr_CA,fr_CI	Rename selected
fr_CA,fr_CI	Disconnect all
fr_CA,fr_CI	Turn on Live Broadcasting when applying these settings
fr_CA,fr_CI	Settings for %1
fr_CA,fr_CI	Dynamically update Ogg Vorbis metadata.
fr_CA,fr_CI	Select a source connection above to edit its settings here
fr_CA,fr_CI	Password storage
fr_CA,fr_CI	Plain text
fr_CA,fr_CI	Secure storage (OS keychain)
fr_CA,fr_CI	Use UTF-8 encoding for metadata.
fr_CA,fr_CI	Encoding
fr_CA,fr_CI	Server connection
fr_CA,fr_CI	Stream info
fr_CA,fr_CI	Use static artist and title.
fr_CA,fr_CI	Static title
fr_CA,fr_CI	Static artist
fr_CA,fr_CI	Automatic reconnect
fr_CA,fr_CI	Time to wait before the first reconnection attempt is made.
fr_CA,fr_CI	 seconds
fr_CA,fr_CI	Wait until first attempt
fr_CA,fr_CI	Reconnect period
fr_CA,fr_CI	Time to wait between two reconnection attempts.
fr_CA,fr_CI	Limit number of reconnection attempts
fr_CA,fr_CI	Maximum retries
fr_CA,fr_CI	Reconnect if the connection to the streaming server is lost.
fr_CA,fr_CI	Enable automatic reconnect
fr_CA,fr_CI	By hotcue number
fr_CA,fr_CI	Color Preferences
fr_CA,fr_CI	Edit\u2026
fr_CA,fr_CI	Track palette
fr_CA,fr_CI	Loop default color
fr_CA,fr_CI	Hotcue palette
fr_CA,fr_CI	Hotcue default color
fr_CA,fr_CI	Replace\u2026
fr_CA,fr_CI	Apply device settings?
fr_CA,fr_CI	Your settings must be applied before starting the learning wizard.\nApply settings and continue?
fr_CA,fr_CI	None
fr_CA,fr_CI	%1 by %2
fr_CA,fr_CI	No Name
fr_CA,fr_CI	No Description
fr_CA,fr_CI	No Author
fr_CA,fr_CI	Mapping has been edited
fr_CA,fr_CI	Always overwrite during this session
fr_CA,fr_CI	Save As
fr_CA,fr_CI	Overwrite
fr_CA,fr_CI	Save user mapping
fr_CA,fr_CI	Enter the name for saving the mapping to the user folder.
fr_CA,fr_CI	Saving mapping failed
fr_CA,fr_CI	A mapping cannot have a blank name and may not contain special characters.
fr_CA,fr_CI	A mapping file with that name already exists.
fr_CA,fr_CI	missing
fr_CA,fr_CI	built-in
fr_CA,fr_CI	Do you want to save the changes?
fr_CA,fr_CI	Troubleshooting
fr_CA,fr_CI	<font color='#BB0000'><b>If you use this mapping your controller may not work correctly. Please select another mapping or disable the controller.</b></font><br><br>This mapping was designed for a newer Mixxx Controller Engine and cannot be used on your current Mixxx installation.<br>Your Mixxx installation has Controller Engine version %1. This mapping requires a Controller Engine version >= %2.<br><br>For more information visit the wiki page on <a href='https://mixxx.org/wiki/doku.php/controller_engine_versions'>Controller Engine Versions</a>.
fr_CA,fr_CI	Mapping already exists.
fr_CA,fr_CI	<b>%1</b> already exists in user mapping folder.<br>Overwrite or save with a new name?
fr_CA,fr_CI	Clear Input Mappings
fr_CA,fr_CI	Are you sure you want to clear all input mappings?
fr_CA,fr_CI	Clear Output Mappings
fr_CA,fr_CI	Are you sure you want to clear all output mappings?
fr_CA,fr_CI	(device category goes here)
fr_CA,fr_CI	Description:
fr_CA,fr_CI	Support:
fr_CA,fr_CI	Input Mappings
fr_CA,fr_CI	Add
fr_CA,fr_CI	Click to start the Controller Learning wizard.
fr_CA,fr_CI	Controller Preferences
fr_CA,fr_CI	Controller Setup
fr_CA,fr_CI	Load Mapping:
fr_CA,fr_CI	Author:
fr_CA,fr_CI	Learning Wizard (MIDI Only)
fr_CA,fr_CI	Mapping Files:
fr_CA,fr_CI	Clear All
fr_CA,fr_CI	Output Mappings
fr_CA,fr_CI	Mixxx uses "mappings" to connect messages from your controller to controls in Mixxx. If you do not see a mapping for your controller in the "Load Mapping" menu when you click on your controller on the left sidebar, you may be able to download one online from the %1. Place the XML (.xml) and Javascript (.js) file(s) in the "User Mapping Folder" then restart Mixxx. If you download a mapping in a ZIP file, extract the XML and Javascript file(s) from the ZIP file to your "User Mapping Folder" then restart Mixxx.
fr_CA,fr_CI	Mixxx DJ Hardware Guide
fr_CA,fr_CI	MIDI Mapping File Format
fr_CA,fr_CI	MIDI Scripting with Javascript
fr_CA,fr_CI	Mixxx did not detect any controllers. If you connected the controller while Mixxx was running you must restart Mixxx first.
fr_CA,fr_CI	Open User Mapping Folder
fr_CA,fr_CI	Resources
fr_CA,fr_CI	Controllers are physical devices that send MIDI or HID signals to your computer over a USB connection. These allow you to control Mixxx in a more hands-on way than a keyboard and mouse. Attached controllers that Mixxx recognizes are shown in the "Controllers" section in the sidebar.
fr_CA,fr_CI	You can create your own mapping by using the MIDI Learning Wizard when you select your controller in the sidebar. You can edit mappings by selecting the "Input Mappings" and "Output Mappings" tabs in the preference page for your controller. See the Resources below for more details on making mappings.
fr_CA,fr_CI	Select from different color schemes of a skin if available.
fr_CA,fr_CI	Color scheme
fr_CA,fr_CI	Locales determine country and language specific settings.
fr_CA,fr_CI	Locale
fr_CA,fr_CI	Interface Preferences
fr_CA,fr_CI	Miscellaneous
fr_CA,fr_CI	HiDPI / Retina scaling
fr_CA,fr_CI	Change the size of text, buttons, and other items.
fr_CA,fr_CI	Screen saver
fr_CA,fr_CI	Start in full-screen mode
fr_CA,fr_CI	Full-screen mode
fr_CA,fr_CI	Library only
fr_CA,fr_CI	Library and Skin
fr_CA,fr_CI	Mixxx mode
fr_CA,fr_CI	Mixxx mode (no blinking)
fr_CA,fr_CI	Pioneer mode
fr_CA,fr_CI	Denon mode
fr_CA,fr_CI	Numark mode
fr_CA,fr_CI	CUP mode
fr_CA,fr_CI	mm:ss%1zz - Traditional
fr_CA,fr_CI	mm:ss - Traditional (Coarse)
fr_CA,fr_CI	s%1zz - Seconds
fr_CA,fr_CI	sss%1zz - Seconds (Long)
fr_CA,fr_CI	s%1sss%2zz - Kiloseconds
fr_CA,fr_CI	Main cue
fr_CA,fr_CI	First sound (skip silence)
fr_CA,fr_CI	Beginning of track
fr_CA,fr_CI	6% (semitone)
fr_CA,fr_CI	Deck Preferences
fr_CA,fr_CI	Deck options
fr_CA,fr_CI	Cue mode
